layer_idx,onnx_op,python_operation,compute_cycles
0,Add,"Y_0 = Y0 + Y0",33
1,MatMul,"BY_0 = B @ Y_0",301
2,Sub,"R_0 = I - BY_0",31
3,Mul,"S_0 = omega_0 * R_0",32
4,Add,"Y_1 = Y_0 + S_0",39
5,MatMul,"BY_1 = B @ Y_1",290
6,Sub,"R_1 = I - BY_1",39
7,Mul,"S_1 = omega_1 * R_1",39
8,Add,"Y_2 = Y_1 + S_1",30
9,MatMul,"BY_2 = B @ Y_2",299
10,Sub,"R_2 = I - BY_2",32
11,Mul,"S_2 = omega_2 * R_2",30
12,Add,"Y_3 = Y_2 + S_2",30
13,MatMul,"BY_3 = B @ Y_3",290
14,Sub,"R_3 = I - BY_3",30
15,Mul,"S_3 = omega_3 * R_3",30
16,Add,"Y_4 = Y_3 + S_3",30
17,MatMul,"BY_4 = B @ Y_4",290
18,Sub,"R_4 = I - BY_4",30
19,Mul,"S_4 = omega_4 * R_4",32
20,Add,"Y_5 = Y_4 + S_4",30
21,MatMul,"BY_5 = B @ Y_5",290
22,Sub,"R_5 = I - BY_5",30
23,Mul,"S_5 = omega_5 * R_5",30
24,Add,"Y_6 = Y_5 + S_5",30
25,MatMul,"BY_6 = B @ Y_6",290
26,Sub,"R_6 = I - BY_6",30
27,Mul,"S_6 = omega_6 * R_6",30
28,Add,"Y_7 = Y_6 + S_6",30
29,MatMul,"BY_7 = B @ Y_7",290
30,Sub,"R_7 = I - BY_7",39
31,Mul,"S_7 = omega_7 * R_7",39
32,Add,"Y_8 = Y_7 + S_7",39
33,MatMul,"BY_8 = B @ Y_8",299
34,Sub,"R_8 = I - BY_8",39
35,Mul,"S_8 = omega_8 * R_8",39
36,Add,"Y_9 = Y_8 + S_8",39
37,MatMul,"BY_9 = B @ Y_9",299
38,Sub,"R_9 = I - BY_9",30
39,Mul,"S_9 = omega_9 * R_9",30
40,Add,"Y_10 = Y_9 + S_9",30
41,MatMul,"BY_10 = B @ Y_10",290
42,Sub,"R_10 = I - BY_10",30
43,Mul,"S_10 = omega_10 * R_10",30
44,Add,"Y_11 = Y_10 + S_10",30
45,MatMul,"BY_11 = B @ Y_11",290
46,Sub,"R_11 = I - BY_11",30
47,Mul,"S_11 = omega_11 * R_11",30
48,Add,"Y_12 = Y_11 + S_11",30
49,MatMul,"T = MinvHalf @ Y_12",290
50,MatMul,"Xapprox = T @ MinvHalf",290
51,MatMul,"x_detnet = Xapprox @ HHy",290
