step_idx,layer_idx,trace_mode,event_key,onnx_op,compute_op,formula,formula_dims,compute_cycles,sample_count,reducer,matched_events
0,-1,du,GRAM,MatMul,MATMUL,G = H^H @ H,8*64*64*8,95.00,96,median,DU_GRAM
1,-1,du,REG,Add,VECTOR_ADD,A = G + RegI,8*8,4.00,96,median,DU_REG
2,-1,du,W,MatMul,MATMUL,W = X_last @ H^H,8*8*8*64,95.00,96,median,DU_W
3,-1,du,XHAT,MatMul,MATMUL,X_hat = W @ Y,8*64*64*8,95.00,96,median,DU_XHAT
4,0,du,AX,MatMul,MATMUL,AX_0 = A @ X_0,8*8*8*8,39.00,96,median,DU_AX_0
5,0,du,RES,Add,VECTOR_ADD,R_0 = RegI + AX_0,8*8,4.00,96,median,DU_RES_0_0
6,0,du,STORE_XK,Add,VECTOR_ADD,X_1 = Xtmp_1 + RegI,8*8,4.00,96,median,DU_STORE_XK_0
7,0,du,XNEXT,MatMul,MATMUL,Xtmp_1 = X_0 @ R_0,8*8*8*8,39.00,96,median,DU_XNEXT_0
8,1,du,AX,MatMul,MATMUL,AX_1 = A @ X_1,8*8*8*8,39.00,96,median,DU_AX_1
9,1,du,RES,Add,VECTOR_ADD,R_1 = RegI + AX_1,8*8,4.00,96,median,DU_RES_1_0
10,1,du,STORE_XK,Add,VECTOR_ADD,X_2 = Xtmp_2 + RegI,8*8,4.00,96,median,DU_STORE_XK_1
11,1,du,XNEXT,MatMul,MATMUL,Xtmp_2 = X_1 @ R_1,8*8*8*8,39.00,96,median,DU_XNEXT_1
12,2,du,AX,MatMul,MATMUL,AX_2 = A @ X_2,8*8*8*8,39.00,96,median,DU_AX_2
13,2,du,RES,Add,VECTOR_ADD,R_2 = RegI + AX_2,8*8,4.00,96,median,DU_RES_2_0
14,2,du,STORE_XK,Add,VECTOR_ADD,X_3 = Xtmp_3 + RegI,8*8,4.00,96,median,DU_STORE_XK_2
15,2,du,XNEXT,MatMul,MATMUL,Xtmp_3 = X_2 @ R_2,8*8*8*8,39.00,96,median,DU_XNEXT_2
16,3,du,AX,MatMul,MATMUL,AX_3 = A @ X_3,8*8*8*8,39.00,96,median,DU_AX_3
17,3,du,RES,Add,VECTOR_ADD,R_3 = RegI + AX_3,8*8,4.00,96,median,DU_RES_3_0
18,3,du,STORE_XK,Add,VECTOR_ADD,X_4 = Xtmp_4 + RegI,8*8,4.00,96,median,DU_STORE_XK_3
19,3,du,XNEXT,MatMul,MATMUL,Xtmp_4 = X_3 @ R_3,8*8*8*8,39.00,96,median,DU_XNEXT_3
20,4,du,AX,MatMul,MATMUL,AX_4 = A @ X_4,8*8*8*8,39.00,96,median,DU_AX_4
21,4,du,RES,Add,VECTOR_ADD,R_4 = RegI + AX_4,8*8,4.00,96,median,DU_RES_4_0
22,4,du,STORE_XK,Add,VECTOR_ADD,X_5 = Xtmp_5 + RegI,8*8,4.00,96,median,DU_STORE_XK_4
23,4,du,XNEXT,MatMul,MATMUL,Xtmp_5 = X_4 @ R_4,8*8*8*8,39.00,96,median,DU_XNEXT_4
24,5,du,AX,MatMul,MATMUL,AX_5 = A @ X_5,8*8*8*8,39.00,96,median,DU_AX_5
25,5,du,RES,Add,VECTOR_ADD,R_5 = RegI + AX_5,8*8,4.00,96,median,DU_RES_5_0
26,5,du,STORE_XK,Add,VECTOR_ADD,X_6 = Xtmp_6 + RegI,8*8,4.00,96,median,DU_STORE_XK_5
27,5,du,XNEXT,MatMul,MATMUL,Xtmp_6 = X_5 @ R_5,8*8*8*8,39.00,96,median,DU_XNEXT_5
28,6,du,AX,MatMul,MATMUL,AX_6 = A @ X_6,8*8*8*8,39.00,96,median,DU_AX_6
29,6,du,RES,Add,VECTOR_ADD,R_6 = RegI + AX_6,8*8,4.00,96,median,DU_RES_6_0
30,6,du,STORE_XK,Add,VECTOR_ADD,X_7 = Xtmp_7 + RegI,8*8,4.00,96,median,DU_STORE_XK_6
31,6,du,XNEXT,MatMul,MATMUL,Xtmp_7 = X_6 @ R_6,8*8*8*8,39.00,96,median,DU_XNEXT_6
32,7,du,AX,MatMul,MATMUL,AX_7 = A @ X_7,8*8*8*8,39.00,96,median,DU_AX_7
33,7,du,RES,Add,VECTOR_ADD,R_7 = RegI + AX_7,8*8,4.00,96,median,DU_RES_7_0
34,7,du,STORE_XK,Add,VECTOR_ADD,X_8 = Xtmp_8 + RegI,8*8,4.00,96,median,DU_STORE_XK_7
35,7,du,XNEXT,MatMul,MATMUL,Xtmp_8 = X_7 @ R_7,8*8*8*8,39.00,96,median,DU_XNEXT_7
36,8,du,AX,MatMul,MATMUL,AX_8 = A @ X_8,8*8*8*8,39.00,96,median,DU_AX_8
37,8,du,RES,Add,VECTOR_ADD,R_8 = RegI + AX_8,8*8,4.00,96,median,DU_RES_8_0
38,8,du,STORE_XK,Add,VECTOR_ADD,X_9 = Xtmp_9 + RegI,8*8,4.00,96,median,DU_STORE_XK_8
39,8,du,XNEXT,MatMul,MATMUL,Xtmp_9 = X_8 @ R_8,8*8*8*8,39.00,96,median,DU_XNEXT_8
40,9,du,AX,MatMul,MATMUL,AX_9 = A @ X_9,8*8*8*8,39.00,96,median,DU_AX_9
41,9,du,RES,Add,VECTOR_ADD,R_9 = RegI + AX_9,8*8,4.00,96,median,DU_RES_9_0
42,9,du,STORE_XK,Add,VECTOR_ADD,X_10 = Xtmp_10 + RegI,8*8,4.00,96,median,DU_STORE_XK_9
43,9,du,XNEXT,MatMul,MATMUL,Xtmp_10 = X_9 @ R_9,8*8*8*8,39.00,96,median,DU_XNEXT_9
44,10,du,AX,MatMul,MATMUL,AX_10 = A @ X_10,8*8*8*8,39.00,96,median,DU_AX_10
45,10,du,RES,Add,VECTOR_ADD,R_10 = RegI + AX_10,8*8,4.00,96,median,DU_RES_10_0
46,10,du,STORE_XK,Add,VECTOR_ADD,X_11 = Xtmp_11 + RegI,8*8,4.00,96,median,DU_STORE_XK_10
47,10,du,XNEXT,MatMul,MATMUL,Xtmp_11 = X_10 @ R_10,8*8*8*8,39.00,96,median,DU_XNEXT_10
48,11,du,AX,MatMul,MATMUL,AX_11 = A @ X_11,8*8*8*8,39.00,96,median,DU_AX_11
49,11,du,RES,Add,VECTOR_ADD,R_11 = RegI + AX_11,8*8,4.00,96,median,DU_RES_11_0
50,11,du,STORE_XK,Add,VECTOR_ADD,X_12 = Xtmp_12 + RegI,8*8,4.00,96,median,DU_STORE_XK_11
51,11,du,XNEXT,MatMul,MATMUL,Xtmp_12 = X_11 @ R_11,8*8*8*8,39.00,96,median,DU_XNEXT_11
