step_idx,layer_idx,trace_mode,event_key,onnx_op,compute_op,formula,formula_dims,compute_cycles,sample_count,reducer,matched_events
0,-1,duo,GRAM,MatMul,MATMUL,G = H^H @ H,8*64*64*8,95.00,96,median,DUO_GRAM
1,-1,duo,REG,Add,VECTOR_ADD,A = G + RegI,8*8,4.00,96,median,DUO_REG
2,-1,duo,W,MatMul,MATMUL,W = X_last @ H^H,8*8*8*64,95.00,96,median,DUO_W
3,-1,duo,XHAT,MatMul,MATMUL,X_hat = W @ Y,8*64*64*8,95.00,96,median,DUO_XHAT
4,0,duo,AX,MatMul,MATMUL,AX_0 = A @ X_0,8*8*8*8,39.00,96,median,DUO_AX_0
5,0,duo,STORE_XK,Add,VECTOR_ADD,X_1 = Xtmp_1 + RegI,8*8,4.00,96,median,DUO_STORE_XK_0
6,0,duo,XNEXT,MatMul,MATMUL,Xtmp_1 = X_0 @ A,8*8*8*8,39.00,96,median,DUO_XNEXT_0
7,1,duo,AX,MatMul,MATMUL,AX_1 = A @ X_1,8*8*8*8,39.00,96,median,DUO_AX_1
8,1,duo,STORE_XK,Add,VECTOR_ADD,X_2 = Xtmp_2 + RegI,8*8,4.00,96,median,DUO_STORE_XK_1
9,1,duo,XNEXT,MatMul,MATMUL,Xtmp_2 = X_1 @ A,8*8*8*8,39.00,96,median,DUO_XNEXT_1
10,2,duo,AX,MatMul,MATMUL,AX_2 = A @ X_2,8*8*8*8,39.00,96,median,DUO_AX_2
11,2,duo,STORE_XK,Add,VECTOR_ADD,X_3 = Xtmp_3 + RegI,8*8,4.00,96,median,DUO_STORE_XK_2
12,2,duo,VEC_CORR,Add,VECTOR_ADD,Zcorr_2 = Z_2 + RegI,8*8,4.00,96,median,DUO_VEC_CORR_2
13,2,duo,VEC_MERGE,Add,VECTOR_ADD,X_3 = Zcorr_2 + RegI,8*8,4.00,96,median,DUO_VEC_MERGE_2
14,2,duo,XNEXT,MatMul,MATMUL,Xtmp_3 = X_2 @ A,8*8*8*8,39.00,96,median,DUO_XNEXT_2
15,3,duo,AX,MatMul,MATMUL,AX_3 = A @ X_3,8*8*8*8,39.00,96,median,DUO_AX_3
16,3,duo,STORE_XK,Add,VECTOR_ADD,X_4 = Xtmp_4 + RegI,8*8,4.00,96,median,DUO_STORE_XK_3
17,3,duo,XNEXT,MatMul,MATMUL,Xtmp_4 = X_3 @ A,8*8*8*8,39.00,96,median,DUO_XNEXT_3
18,4,duo,AX,MatMul,MATMUL,AX_4 = A @ X_4,8*8*8*8,39.00,96,median,DUO_AX_4
19,4,duo,STORE_XK,Add,VECTOR_ADD,X_5 = Xtmp_5 + RegI,8*8,4.00,96,median,DUO_STORE_XK_4
20,4,duo,XNEXT,MatMul,MATMUL,Xtmp_5 = X_4 @ A,8*8*8*8,39.00,96,median,DUO_XNEXT_4
21,5,duo,AX,MatMul,MATMUL,AX_5 = A @ X_5,8*8*8*8,39.00,96,median,DUO_AX_5
22,5,duo,STORE_XK,Add,VECTOR_ADD,X_6 = Xtmp_6 + RegI,8*8,4.00,96,median,DUO_STORE_XK_5
23,5,duo,VEC_CORR,Add,VECTOR_ADD,Zcorr_5 = Z_5 + RegI,8*8,4.00,96,median,DUO_VEC_CORR_5
24,5,duo,VEC_MERGE,Add,VECTOR_ADD,X_6 = Zcorr_5 + RegI,8*8,4.00,96,median,DUO_VEC_MERGE_5
25,5,duo,XNEXT,MatMul,MATMUL,Xtmp_6 = X_5 @ A,8*8*8*8,39.00,96,median,DUO_XNEXT_5
26,6,duo,AX,MatMul,MATMUL,AX_6 = A @ X_6,8*8*8*8,39.00,96,median,DUO_AX_6
27,6,duo,STORE_XK,Add,VECTOR_ADD,X_7 = Xtmp_7 + RegI,8*8,4.00,96,median,DUO_STORE_XK_6
28,6,duo,XNEXT,MatMul,MATMUL,Xtmp_7 = X_6 @ A,8*8*8*8,39.00,96,median,DUO_XNEXT_6
29,7,duo,AX,MatMul,MATMUL,AX_7 = A @ X_7,8*8*8*8,39.00,96,median,DUO_AX_7
30,7,duo,STORE_XK,Add,VECTOR_ADD,X_8 = Xtmp_8 + RegI,8*8,4.00,96,median,DUO_STORE_XK_7
31,7,duo,XNEXT,MatMul,MATMUL,Xtmp_8 = X_7 @ A,8*8*8*8,39.00,96,median,DUO_XNEXT_7
32,8,duo,AX,MatMul,MATMUL,AX_8 = A @ X_8,8*8*8*8,39.00,96,median,DUO_AX_8
33,8,duo,STORE_XK,Add,VECTOR_ADD,X_9 = Xtmp_9 + RegI,8*8,4.00,96,median,DUO_STORE_XK_8
34,8,duo,VEC_CORR,Add,VECTOR_ADD,Zcorr_8 = Z_8 + RegI,8*8,4.00,96,median,DUO_VEC_CORR_8
35,8,duo,VEC_MERGE,Add,VECTOR_ADD,X_9 = Zcorr_8 + RegI,8*8,4.00,96,median,DUO_VEC_MERGE_8
36,8,duo,XNEXT,MatMul,MATMUL,Xtmp_9 = X_8 @ A,8*8*8*8,39.00,96,median,DUO_XNEXT_8
37,9,duo,AX,MatMul,MATMUL,AX_9 = A @ X_9,8*8*8*8,39.00,96,median,DUO_AX_9
38,9,duo,STORE_XK,Add,VECTOR_ADD,X_10 = Xtmp_10 + RegI,8*8,4.00,96,median,DUO_STORE_XK_9
39,9,duo,XNEXT,MatMul,MATMUL,Xtmp_10 = X_9 @ A,8*8*8*8,39.00,96,median,DUO_XNEXT_9
40,10,duo,AX,MatMul,MATMUL,AX_10 = A @ X_10,8*8*8*8,39.00,96,median,DUO_AX_10
41,10,duo,STORE_XK,Add,VECTOR_ADD,X_11 = Xtmp_11 + RegI,8*8,4.00,96,median,DUO_STORE_XK_10
42,10,duo,XNEXT,MatMul,MATMUL,Xtmp_11 = X_10 @ A,8*8*8*8,39.00,96,median,DUO_XNEXT_10
43,11,duo,AX,MatMul,MATMUL,AX_11 = A @ X_11,8*8*8*8,39.00,96,median,DUO_AX_11
44,11,duo,STORE_XK,Add,VECTOR_ADD,X_12 = Xtmp_12 + RegI,8*8,4.00,96,median,DUO_STORE_XK_11
45,11,duo,VEC_CORR,Add,VECTOR_ADD,Zcorr_11 = Z_11 + RegI,8*8,4.00,96,median,DUO_VEC_CORR_11
46,11,duo,VEC_MERGE,Add,VECTOR_ADD,X_12 = Zcorr_11 + RegI,8*8,4.00,96,median,DUO_VEC_MERGE_11
47,11,duo,XNEXT,MatMul,MATMUL,Xtmp_12 = X_11 @ A,8*8*8*8,39.00,96,median,DUO_XNEXT_11
