name,unit,start_cycle,end_cycle
CHOL_BARRIER_LOAD2GRAM,Core0_Vector,3,4
CHOL_BARRIER_LOAD2GRAM,Core1_Vector,3,4
CHOL_BARRIER_LOAD2GRAM,Core0_Vector,6,7
CHOL_BARRIER_LOAD2GRAM,Core1_Vector,6,7
Load,Core0_MTE2,1,27
Load,Core0_MTE2,1,27
Load,Core0_MTE2,1,27
Load,Core0_MTE2,1,27
Load,Core0_MTE2,1,27
Load,Core0_MTE2,1,27
Load,Core0_MTE2,1,27
Load,Core0_MTE2,1,27
Load,Core1_MTE2,1,29
Load,Core1_MTE2,1,29
Load,Core1_MTE2,1,29
Load,Core1_MTE2,1,29
Load,Core1_MTE2,1,29
Load,Core1_MTE2,1,29
Load,Core1_MTE2,1,29
Load,Core1_MTE2,1,29
Load,Core1_MTE2,1,54
Load,Core1_MTE2,1,54
Load,Core1_MTE2,1,61
Load,Core1_MTE2,1,61
Load,Core1_MTE2,1,61
Load,Core1_MTE2,1,61
Load,Core1_MTE2,1,61
Load,Core1_MTE2,1,61
Load,Core0_MTE2,4,62
Load,Core0_MTE2,4,62
Load,Core0_MTE2,4,62
Load,Core0_MTE2,4,62
Load,Core1_MTE2,1,63
Load,Core1_MTE2,1,63
Load,Core1_MTE2,4,64
Load,Core1_MTE2,1,64
Load,Core1_MTE2,1,64
Load,Core1_MTE2,4,64
Load,Core1_MTE2,1,64
Load,Core1_MTE2,1,64
Load,Core1_MTE2,1,65
Load,Core1_MTE2,1,65
Load,Core1_MTE2,4,65
Load,Core1_MTE2,1,65
Load,Core1_MTE2,4,65
Load,Core1_MTE2,1,65
Load,Core1_MTE2,1,66
Load,Core1_MTE2,1,66
Load,Core1_MTE2,4,66
Load,Core1_MTE2,1,66
Load,Core1_MTE2,1,66
Load,Core1_MTE2,4,66
Load,Core0_MTE2,4,67
Load,Core0_MTE2,1,67
Load,Core0_MTE2,4,67
Load,Core0_MTE2,1,67
Load,Core0_MTE2,1,67
Load,Core0_MTE2,4,67
Load,Core0_MTE2,1,67
Load,Core0_MTE2,4,67
Load,Core1_MTE2,4,67
Load,Core1_MTE2,4,67
Load,Core0_MTE2,4,69
Load,Core0_MTE2,4,69
Load,Core0_MTE2,4,69
Load,Core0_MTE2,4,69
Load,Core1_MTE2,4,70
Load,Core1_MTE2,4,70
Load,Core0_MTE2,1,71
Load,Core0_MTE2,1,71
Load,Core0_MTE2,1,71
Load,Core0_MTE2,1,71
Load,Core0_MTE2,1,71
Load,Core0_MTE2,1,71
Load,Core0_MTE2,1,71
Load,Core0_MTE2,1,71
Load,Core1_MTE2,4,72
Load,Core1_MTE2,4,72
Load,Core1_MTE2,4,73
Load,Core1_MTE2,4,73
Load,Core1_MTE2,4,73
Load,Core1_MTE2,4,73
Load,Core1_MTE2,4,73
Load,Core1_MTE2,4,73
Load,Core1_MTE2,4,74
Load,Core1_MTE2,1,74
Load,Core1_MTE2,4,74
Load,Core1_MTE2,1,74
Load,Core1_MTE2,4,76
Load,Core1_MTE2,4,76
Load,Core1_MTE2,4,76
Load,Core1_MTE2,4,76
Load,Core0_MTE2,4,77
Load,Core0_MTE2,1,77
Load,Core0_MTE2,4,77
Load,Core0_MTE2,4,77
Load,Core0_MTE2,4,77
Load,Core0_MTE2,1,77
Load,Core0_MTE2,4,78
Load,Core0_MTE2,4,78
Load,Core0_MTE2,1,79
Load,Core0_MTE2,1,79
Load,Core0_MTE2,1,79
Load,Core0_MTE2,1,79
Load,Core0_MTE2,1,80
Load,Core0_MTE2,4,80
Load,Core0_MTE2,4,80
Load,Core0_MTE2,1,80
Load,Core0_MTE2,1,86
Load,Core0_MTE2,1,86
Load,Core0_MTE2,1,86
Load,Core0_MTE2,1,86
Load,Core0_MTE2,4,88
Load,Core0_MTE2,4,88
Load,Core0_MTE2,4,88
Load,Core0_MTE2,4,88
Load,Core0_MTE2,4,94
Load,Core0_MTE2,4,94
Load,Core0_MTE2,4,95
Load,Core0_MTE2,4,95
Load,Core0_MTE2,4,97
Load,Core0_MTE2,4,97
Load,Core0_MTE2,4,97
Load,Core0_MTE2,4,97
Load,Core1_MTE2,4,97
Load,Core1_MTE2,4,97
