name,unit,start_cycle,end_cycle
"CHOL_BARRIER_LOAD2GRAM","Core0_Vector",3,4
"CHOL_BARRIER_LOAD2GRAM","Core0_Vector",6,7
"Load","Core0_MTE2",1,27
"Load","Core0_MTE2",1,27
"Load","Core0_MTE2",1,27
"Load","Core0_MTE2",1,27
"Load","Core0_MTE2",1,27
"Load","Core0_MTE2",1,27
"Load","Core0_MTE2",1,27
"Load","Core0_MTE2",1,27
"Load","Core0_MTE2",1,28
"Load","Core0_MTE2",1,28
"Load","Core0_MTE2",1,28
"Load","Core0_MTE2",1,28
"Load","Core0_MTE2",1,28
"Load","Core0_MTE2",1,28
"Load","Core0_MTE2",1,28
"Load","Core0_MTE2",1,28
"Load","Core0_MTE2",1,29
"Load","Core0_MTE2",1,29
"Load","Core0_MTE2",4,29
"Load","Core0_MTE2",4,29
"Load","Core0_MTE2",1,29
"Load","Core0_MTE2",1,29
"Load","Core0_MTE2",4,29
"Load","Core0_MTE2",4,29
"Load","Core0_MTE2",1,30
"Load","Core0_MTE2",1,30
"Load","Core0_MTE2",1,30
"Load","Core0_MTE2",1,30
"Load","Core0_MTE2",1,30
"Load","Core0_MTE2",1,30
"Load","Core0_MTE2",1,30
"Load","Core0_MTE2",1,30
"Load","Core0_MTE2",4,31
"Load","Core0_MTE2",4,31
"Load","Core0_MTE2",1,31
"Load","Core0_MTE2",1,31
"Load","Core0_MTE2",4,31
"Load","Core0_MTE2",4,31
"Load","Core0_MTE2",1,31
"Load","Core0_MTE2",1,31
"Load","Core0_MTE2",4,32
"Load","Core0_MTE2",4,32
"Load","Core0_MTE2",4,32
"Load","Core0_MTE2",4,32
"Load","Core0_MTE2",4,32
"Load","Core0_MTE2",4,32
"Load","Core0_MTE2",4,32
"Load","Core0_MTE2",4,32
"Load","Core0_MTE2",4,33
"Load","Core0_MTE2",4,33
"Load","Core0_MTE2",2,33
"Load","Core0_MTE2",2,33
"Load","Core0_MTE2",4,33
"Load","Core0_MTE2",4,33
"Load","Core0_MTE2",2,33
"Load","Core0_MTE2",2,33
"Load","Core0_MTE2",4,34
"Load","Core0_MTE2",4,34
"Load","Core0_MTE2",4,34
"Load","Core0_MTE2",4,34
"Load","Core0_MTE2",4,34
"Load","Core0_MTE2",4,34
"Load","Core0_MTE2",4,34
"Load","Core0_MTE2",4,34
"Load","Core0_MTE2",2,35
"Load","Core0_MTE2",2,35
"Load","Core0_MTE2",4,35
"Load","Core0_MTE2",4,35
"Load","Core0_MTE2",2,35
"Load","Core0_MTE2",2,35
"Load","Core0_MTE2",4,35
"Load","Core0_MTE2",4,35
"Load","Core0_MTE2",5,36
"Load","Core0_MTE2",5,36
"Load","Core0_MTE2",5,36
"Load","Core0_MTE2",5,36
"Load","Core0_MTE2",5,36
"Load","Core0_MTE2",5,36
"Load","Core0_MTE2",5,36
"Load","Core0_MTE2",5,36
"CHOL_GRAM","Core0_Cube",63,98
"CHOL_REG","Core0_Vector",99,100
"CHOL_BARRIER_REG2FACTOR","Core0_Vector",101,102
"CHOL_GRAM","Core0_Cube",79,114
"CHOL_REG","Core0_Vector",115,116
"CHOL_BARRIER_REG2FACTOR","Core0_Vector",117,118
"CHOL_POTRF_GEMM_0","Core0_Cube",102,134
"CHOL_POTRF_DIAG_0","Core0_Vector",135,139
"CHOL_POTRF_GEMM_0","Core0_Cube",118,150
"CHOL_POTRF_DIAG_0","Core0_Vector",151,155
"CHOL_TRSM_1_0","Core0_Cube",140,172
"CHOL_TRSM_1_0","Core0_Cube",156,188
"CHOL_TRSM_2_0","Core0_Cube",173,205
"CHOL_TRSM_2_0","Core0_Cube",189,221
"CHOL_TRSM_3_0","Core0_Cube",206,238
"CHOL_TRSM_3_0","Core0_Cube",222,254
"CHOL_TRSM_4_0","Core0_Cube",239,271
"CHOL_TRSM_4_0","Core0_Cube",255,287
"CHOL_TRSM_5_0","Core0_Cube",272,304
"CHOL_TRSM_5_0","Core0_Cube",288,320
"CHOL_TRSM_6_0","Core0_Cube",305,337
"CHOL_BARRIER_TRSM_0","Core0_Vector",339,340
"CHOL_TRSM_6_0","Core0_Cube",321,353
"CHOL_BARRIER_TRSM_0","Core0_Vector",355,356
"CHOL_TRSM_7_0","Core0_Cube",338,370
"CHOL_TRSM_7_0","Core0_Cube",354,386
"CHOL_RK_UPDATE_1_1_0","Core0_Cube",371,403
"CHOL_RK_UPDATE_2_1_0","Core0_Cube",387,419
"CHOL_RK_UPDATE_2_2_0","Core0_Cube",403,435
"CHOL_RK_UPDATE_3_1_0","Core0_Cube",419,451
"CHOL_RK_UPDATE_3_2_0","Core0_Cube",435,467
"CHOL_RK_UPDATE_3_3_0","Core0_Cube",451,483
"CHOL_RK_UPDATE_4_1_0","Core0_Cube",467,499
"CHOL_RK_UPDATE_4_2_0","Core0_Cube",483,515
"CHOL_RK_UPDATE_4_3_0","Core0_Cube",499,531
"CHOL_RK_UPDATE_4_4_0","Core0_Cube",515,547
"CHOL_RK_UPDATE_5_1_0","Core0_Cube",531,563
"CHOL_RK_UPDATE_5_2_0","Core0_Cube",547,579
"CHOL_BARRIER_FACTOR_STEP_0","Core0_Vector",581,582
"CHOL_RK_UPDATE_5_3_0","Core0_Cube",563,595
"CHOL_RK_UPDATE_5_4_0","Core0_Cube",579,611
"CHOL_RK_UPDATE_5_5_0","Core0_Cube",595,627
"CHOL_RK_UPDATE_6_1_0","Core0_Cube",611,643
"CHOL_RK_UPDATE_6_2_0","Core0_Cube",627,659
"CHOL_RK_UPDATE_6_3_0","Core0_Cube",643,675
"CHOL_RK_UPDATE_6_4_0","Core0_Cube",659,691
"CHOL_RK_UPDATE_6_5_0","Core0_Cube",675,707
"CHOL_RK_UPDATE_6_6_0","Core0_Cube",691,723
"CHOL_RK_UPDATE_7_1_0","Core0_Cube",707,739
"CHOL_RK_UPDATE_7_2_0","Core0_Cube",723,755
"CHOL_RK_UPDATE_7_3_0","Core0_Cube",739,771
"CHOL_RK_UPDATE_7_4_0","Core0_Cube",755,787
"CHOL_RK_UPDATE_7_5_0","Core0_Cube",771,803
"CHOL_RK_UPDATE_7_6_0","Core0_Cube",787,819
"CHOL_RK_UPDATE_7_7_0","Core0_Cube",803,835
"CHOL_RK_UPDATE_1_1_0","Core0_Cube",819,851
"CHOL_RK_UPDATE_2_1_0","Core0_Cube",835,867
"CHOL_RK_UPDATE_2_2_0","Core0_Cube",851,883
"CHOL_RK_UPDATE_3_1_0","Core0_Cube",867,899
"CHOL_RK_UPDATE_3_2_0","Core0_Cube",883,915
"CHOL_RK_UPDATE_3_3_0","Core0_Cube",899,931
"CHOL_RK_UPDATE_4_1_0","Core0_Cube",915,947
"CHOL_RK_UPDATE_4_2_0","Core0_Cube",931,963
"CHOL_RK_UPDATE_4_3_0","Core0_Cube",947,979
"CHOL_RK_UPDATE_4_4_0","Core0_Cube",963,995
"CHOL_RK_UPDATE_5_1_0","Core0_Cube",979,1011
"CHOL_RK_UPDATE_5_2_0","Core0_Cube",995,1027
"CHOL_BARRIER_FACTOR_STEP_0","Core0_Vector",1029,1030
"CHOL_RK_UPDATE_5_3_0","Core0_Cube",1011,1043
"CHOL_RK_UPDATE_5_4_0","Core0_Cube",1027,1059
"CHOL_RK_UPDATE_5_5_0","Core0_Cube",1043,1075
"CHOL_RK_UPDATE_6_1_0","Core0_Cube",1059,1091
"CHOL_RK_UPDATE_6_2_0","Core0_Cube",1075,1107
"CHOL_RK_UPDATE_6_3_0","Core0_Cube",1091,1123
"CHOL_RK_UPDATE_6_4_0","Core0_Cube",1107,1139
"CHOL_RK_UPDATE_6_5_0","Core0_Cube",1123,1155
"CHOL_RK_UPDATE_6_6_0","Core0_Cube",1139,1171
"CHOL_RK_UPDATE_7_1_0","Core0_Cube",1155,1187
"CHOL_RK_UPDATE_7_2_0","Core0_Cube",1171,1203
"CHOL_RK_UPDATE_7_3_0","Core0_Cube",1187,1219
"CHOL_RK_UPDATE_7_4_0","Core0_Cube",1203,1235
"CHOL_RK_UPDATE_7_5_0","Core0_Cube",1219,1251
"CHOL_RK_UPDATE_7_6_0","Core0_Cube",1235,1267
"CHOL_RK_UPDATE_7_7_0","Core0_Cube",1251,1283
"CHOL_POTRF_GEMM_1","Core0_Cube",1267,1299
"CHOL_POTRF_DIAG_1","Core0_Vector",1300,1304
