name,unit,start_cycle,end_cycle
"Load","Core1_MTE2",1,27
"Load","Core1_MTE2",1,27
"Load","Core1_MTE2",1,27
"Load","Core1_MTE2",1,27
"Load","Core1_MTE2",1,28
"Load","Core1_MTE2",1,28
"Load","Core1_MTE2",1,28
"Load","Core1_MTE2",1,28
"Load","Core1_MTE2",1,28
"Load","Core1_MTE2",1,28
"Load","Core1_MTE2",1,28
"Load","Core1_MTE2",1,28
"Load","Core1_MTE2",2,29
"Load","Core1_MTE2",1,29
"Load","Core1_MTE2",2,29
"Load","Core1_MTE2",1,29
"Load","Core1_MTE2",1,29
"Load","Core1_MTE2",2,29
"Load","Core1_MTE2",1,29
"Load","Core1_MTE2",2,29
"Load","Core1_MTE2",2,30
"Load","Core1_MTE2",2,30
"Load","Core1_MTE2",2,30
"Load","Core1_MTE2",2,30
"Load","Core1_MTE2",2,30
"Load","Core1_MTE2",2,30
"Load","Core1_MTE2",2,30
"Load","Core1_MTE2",2,30
"Load","Core1_MTE2",3,31
"Load","Core1_MTE2",3,31
"Load","Core1_MTE2",4,31
"Load","Core1_MTE2",2,31
"Load","Core1_MTE2",3,31
"Load","Core1_MTE2",3,31
"Load","Core1_MTE2",2,31
"Load","Core1_MTE2",4,31
"Load","Core1_MTE2",3,32
"Load","Core1_MTE2",3,32
"Load","Core1_MTE2",3,32
"Load","Core1_MTE2",3,32
"Load","Core1_MTE2",3,32
"Load","Core1_MTE2",3,32
"Load","Core1_MTE2",3,32
"Load","Core1_MTE2",3,32
"Load","Core1_MTE2",4,33
"Load","Core1_MTE2",2,33
"Load","Core1_MTE2",3,33
"Load","Core1_MTE2",3,33
"Load","Core1_MTE2",2,33
"Load","Core1_MTE2",4,33
"Load","Core1_MTE2",3,33
"Load","Core1_MTE2",3,33
"Load","Core1_MTE2",4,34
"Load","Core1_MTE2",4,34
"Load","Core1_MTE2",4,34
"Load","Core1_MTE2",4,34
"Load","Core1_MTE2",4,34
"Load","Core1_MTE2",4,34
"Load","Core1_MTE2",4,34
"Load","Core1_MTE2",4,34
"CubeWait","Core1_Wait",34,65
"Load","Core1_MTE2",5,35
"Load","Core1_MTE2",5,35
"Load","Core1_MTE2",6,35
"Load","Core1_MTE2",4,35
"Load","Core1_MTE2",5,35
"Load","Core1_MTE2",5,35
"Load","Core1_MTE2",4,35
"Load","Core1_MTE2",6,35
