name,unit,start_cycle,end_cycle
"Load","Core0_MTE2",1,37
"Load","Core0_MTE2",1,37
"Load","Core0_MTE2",1,37
"Load","Core0_MTE2",1,37
"Load","Core0_MTE2",2,43
"Load","Core0_MTE2",2,43
"Load","Core0_MTE2",2,43
"Load","Core0_MTE2",2,43
"Load","Core0_MTE2",1,50
"Load","Core0_MTE2",1,50
"Load","Core0_MTE2",1,50
"Load","Core0_MTE2",1,50
"Load","Core0_MTE2",2,56
"Load","Core0_MTE2",2,56
"Load","Core1_MTE2",2,56
"Load","Core1_MTE2",2,56
"Load","Core1_MTE2",1,62
"Load","Core1_MTE2",1,62
"Load","Core1_MTE2",1,62
"Load","Core1_MTE2",1,62
"Load","Core1_MTE2",2,68
"Load","Core1_MTE2",2,68
"Load","Core1_MTE2",2,68
"Load","Core1_MTE2",2,68
"Load","Core1_MTE2",2,75
"Load","Core1_MTE2",2,75
"Load","Core1_MTE2",2,75
"Load","Core1_MTE2",2,75
"Load","Core1_MTE2",2,81
"Load","Core1_MTE2",2,81
"Load","Core1_MTE2",2,81
"Load","Core1_MTE2",2,81
"Load","Core1_MTE2",1,87
"Load","Core1_MTE2",1,87
"Load","Core1_MTE2",1,87
"Load","Core1_MTE2",1,87
"Load","Core1_MTE2",2,93
"Load","Core1_MTE2",2,93
"Load","Core1_MTE2",2,93
"Load","Core2_MTE2",2,93
"Load","Core1_MTE2",2,100
"Load","Core1_MTE2",2,100
"Load","Core2_MTE2",2,100
"Load","Core2_MTE2",2,100
"Load","Core1_MTE2",2,106
"Load","Core2_MTE2",1,106
"Load","Core2_MTE2",2,106
"Load","Core2_MTE2",1,106
"Load","Core2_MTE2",2,112
"Load","Core2_MTE2",2,112
"Load","Core2_MTE2",2,112
"Load","Core2_MTE2",2,112
"Load","Core2_MTE2",1,118
"Load","Core2_MTE2",2,118
"Load","Core2_MTE2",1,118
"Load","Core2_MTE2",2,118
"Load","Core2_MTE2",2,125
"Load","Core2_MTE2",2,125
"Load","Core2_MTE2",2,125
"Load","Core2_MTE2",2,125
