step_idx,layer_idx,operator_mode,event_key,onnx_op,compute_op,formula,formula_dims,compute_cycles,sample_count,reducer,matched_events
0,-1,chol_block,BWD_MAC_FULL,MatMul,MATMUL,A_inv = Y^T @ Y,16*16*16*16,32.00,96,median,CHOL_BWD_MAC_FULL
1,-1,chol_block,GRAM,MatMul,MATMUL,G = H^H @ H,16*64*64*16,35.00,96,median,CHOL_GRAM
2,-1,chol_block,REG,Add,VECTOR_ADD,A = G + RegI,16*16,1.00,96,median,CHOL_REG
3,0,chol_block,FWD_DIAG_INV_0,Div,SCALAR_DIV,"Y_{0} = 1/L_{0,0}",2*2,4.00,96,median,CHOL_FWD_DIAG_INV_0
4,0,chol_block,POTRF_DIAG_SQRT_0,Sqrt,SCALAR_SQRT,L_diag_0 = sqrt(A_diag_0),2*2,4.00,96,median,CHOL_POTRF_DIAG_SQRT_0
5,1,chol_block,FWD_DIAG_INV_1,Div,SCALAR_DIV,"Y_{1} = 1/L_{1,1}",2*2,4.00,96,median,CHOL_FWD_DIAG_INV_1
6,1,chol_block,FWD_OFF_MAC_1_0,SubMul,VECTOR_MAC,"T_{1,0} = Y_{1,:} - L_{1,:}Y_:",2,1.00,96,median,CHOL_FWD_OFF_MAC_1_0
7,1,chol_block,FWD_OFF_UPD_1_0,Div,SCALAR_DIV,"Y_{1,0} = T_{1,0}/L_{1,1}",2*2,4.00,96,median,CHOL_FWD_OFF_UPD_1_0
8,1,chol_block,POTRF_DIAG_SQRT_1,Sqrt,SCALAR_SQRT,L_diag_1 = sqrt(A_diag_1),2*2,4.00,96,median,CHOL_POTRF_DIAG_SQRT_1
9,1,chol_block,POTRF_DIAG_UPD_1_0,SubMul,VECTOR_MAC,"A_{1,1} = A_{1,1} - L_{1,0}^2",2,1.00,96,median,CHOL_POTRF_DIAG_UPD_1_0
10,1,chol_block,RK_UPDATE_1_1_0,SubMul,VECTOR_MAC,"A_{1,1} = A_{1,1} - L_{1,0}L_{1,0}",2,1.00,96,median,CHOL_RK_UPDATE_1_1_0
11,1,chol_block,RK_UPDATE_1_2_0,SubMul,VECTOR_MAC,"A_{1,2} = A_{1,2} - L_{1,0}L_{2,0}",2,1.00,96,median,CHOL_RK_UPDATE_1_2_0
12,1,chol_block,RK_UPDATE_1_3_0,SubMul,VECTOR_MAC,"A_{1,3} = A_{1,3} - L_{1,0}L_{3,0}",2,1.00,96,median,CHOL_RK_UPDATE_1_3_0
13,1,chol_block,RK_UPDATE_1_4_0,SubMul,VECTOR_MAC,"A_{1,4} = A_{1,4} - L_{1,0}L_{4,0}",2,1.00,96,median,CHOL_RK_UPDATE_1_4_0
14,1,chol_block,RK_UPDATE_1_5_0,SubMul,VECTOR_MAC,"A_{1,5} = A_{1,5} - L_{1,0}L_{5,0}",2,1.00,96,median,CHOL_RK_UPDATE_1_5_0
15,1,chol_block,RK_UPDATE_1_6_0,SubMul,VECTOR_MAC,"A_{1,6} = A_{1,6} - L_{1,0}L_{6,0}",2,1.00,96,median,CHOL_RK_UPDATE_1_6_0
16,1,chol_block,RK_UPDATE_1_7_0,SubMul,VECTOR_MAC,"A_{1,7} = A_{1,7} - L_{1,0}L_{7,0}",2,1.00,96,median,CHOL_RK_UPDATE_1_7_0
17,1,chol_block,TRSM_DIV_1_0,Div,SCALAR_DIV,"L_{1,0} = A_{1,0}/L_{0,0}",2*2,4.00,96,median,CHOL_TRSM_DIV_1_0
18,2,chol_block,FWD_DIAG_INV_2,Div,SCALAR_DIV,"Y_{2} = 1/L_{2,2}",2*2,4.00,96,median,CHOL_FWD_DIAG_INV_2
19,2,chol_block,FWD_OFF_MAC_2_0,SubMul,VECTOR_MAC,"T_{2,0} = Y_{2,:} - L_{2,:}Y_:",2,1.00,96,median,CHOL_FWD_OFF_MAC_2_0
20,2,chol_block,FWD_OFF_MAC_2_1,SubMul,VECTOR_MAC,"T_{2,1} = Y_{2,:} - L_{2,:}Y_:",2,1.00,96,median,CHOL_FWD_OFF_MAC_2_1
21,2,chol_block,FWD_OFF_UPD_2_0,Div,SCALAR_DIV,"Y_{2,0} = T_{2,0}/L_{2,2}",2*2,4.00,96,median,CHOL_FWD_OFF_UPD_2_0
22,2,chol_block,FWD_OFF_UPD_2_1,Div,SCALAR_DIV,"Y_{2,1} = T_{2,1}/L_{2,2}",2*2,4.00,96,median,CHOL_FWD_OFF_UPD_2_1
23,2,chol_block,POTRF_DIAG_SQRT_2,Sqrt,SCALAR_SQRT,L_diag_2 = sqrt(A_diag_2),2*2,4.00,96,median,CHOL_POTRF_DIAG_SQRT_2
24,2,chol_block,POTRF_DIAG_UPD_2_0,SubMul,VECTOR_MAC,"A_{2,2} = A_{2,2} - L_{2,0}^2",2,1.00,96,median,CHOL_POTRF_DIAG_UPD_2_0
