major_idx,layer_idx,operator_mode,major_step,compute_ops,substep_count,major_cycle_sum,major_cycle_mean,major_cycle_max,major_cycle_min,substeps
0,-1,chol_block,BWD_MAC_FULL,MATMUL,1,32.00,32.00,32.00,32.00,BWD_MAC_FULL
1,-1,chol_block,GRAM,MATMUL,1,35.00,35.00,35.00,35.00,GRAM
2,-1,chol_block,REG,VECTOR_ADD,1,1.00,1.00,1.00,1.00,REG
3,0,chol_block,FWD_COL_0,SCALAR_DIV,1,4.00,4.00,4.00,4.00,FWD_DIAG_INV_0
4,0,chol_block,POTRF_DIAG_0,SCALAR_SQRT,1,4.00,4.00,4.00,4.00,POTRF_DIAG_SQRT_0
5,1,chol_block,FWD_COL_0_ROW_1,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_1_0|FWD_OFF_UPD_1_0
6,1,chol_block,FWD_COL_1,SCALAR_DIV,1,4.00,4.00,4.00,4.00,FWD_DIAG_INV_1
7,1,chol_block,POTRF_DIAG_1,SCALAR_SQRT,1,4.00,4.00,4.00,4.00,POTRF_DIAG_SQRT_1
8,1,chol_block,POTRF_DIAG_A_1_1,VECTOR_MAC,1,1.00,1.00,1.00,1.00,POTRF_DIAG_UPD_1_0
9,1,chol_block,RK_UPDATE_A_1_1,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_1_0
10,1,chol_block,RK_UPDATE_A_1_2,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_2_0
11,1,chol_block,RK_UPDATE_A_1_3,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_3_0
12,1,chol_block,RK_UPDATE_A_1_4,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_4_0
13,1,chol_block,RK_UPDATE_A_1_5,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_5_0
14,1,chol_block,RK_UPDATE_A_1_6,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_6_0
15,1,chol_block,RK_UPDATE_A_1_7,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_7_0
