step_idx,event_name,unit_types,count,cycle_median,cycle_mean,cycle_max,cycle_min,cycle_sum,start_min,end_max
0,CHOL_BARRIER_FACTOR_STEP_0,Vector,96,1.00,1.00,1,1,96,228,1808
1,CHOL_BARRIER_FACTOR_STEP_1,Vector,96,1.00,1.00,1,1,96,396,1964
2,CHOL_BARRIER_FACTOR_STEP_2,Vector,96,1.00,1.00,1,1,96,532,2090
3,CHOL_BARRIER_FACTOR_STEP_3,Vector,96,1.00,1.00,1,1,96,656,2206
4,CHOL_BARRIER_FACTOR_STEP_4,Vector,96,1.00,1.00,1,1,96,764,2308
5,CHOL_BARRIER_FACTOR_STEP_5,Vector,96,1.00,1.00,1,1,96,852,2392
6,CHOL_BARRIER_FACTOR_STEP_6,Vector,96,1.00,1.00,1,1,96,916,2456
7,CHOL_BARRIER_FACTOR_STEP_7,Vector,96,1.00,1.00,1,1,96,933,2473
8,CHOL_BARRIER_FWD_COL_0,Vector,96,1.00,1.00,1,1,96,1031,2573
9,CHOL_BARRIER_FWD_COL_1,Vector,96,1.00,1.00,1,1,96,1113,2655
10,CHOL_BARRIER_FWD_COL_2,Vector,96,1.00,1.00,1,1,96,1183,2725
11,CHOL_BARRIER_FWD_COL_3,Vector,96,1.00,1.00,1,1,96,1241,2783
12,CHOL_BARRIER_FWD_COL_4,Vector,96,1.00,1.00,1,1,96,1287,2829
13,CHOL_BARRIER_FWD_COL_5,Vector,96,1.00,1.00,1,1,96,1321,2869
14,CHOL_BARRIER_FWD_COL_6,Vector,96,1.00,1.00,1,1,96,1338,2881
15,CHOL_BARRIER_FWD_COL_7,Vector,96,1.00,1.00,1,1,96,1343,2886
16,CHOL_BARRIER_LOAD2GRAM,Vector,96,1.00,1.00,1,1,96,3,1493
17,CHOL_BARRIER_REG2FACTOR,Vector,96,1.00,1.00,1,1,96,119,1654
18,CHOL_BARRIER_SOLVE2STORE,Vector,96,1.00,1.00,1,1,96,1348,2891
19,CHOL_BWD_MAC_FULL,Cube,96,32.00,32.00,32,32,3072,1378,2944
20,CHOL_FWD_DIAG_INV_0,Scalar,96,4.00,4.00,4,4,384,938,2486
21,CHOL_FWD_DIAG_INV_1,Scalar,96,4.00,4.00,4,4,384,1035,2580
