step_idx,layer_idx,operator_mode,major_step,event_key,onnx_op,compute_op,formula,formula_dims,compute_cycles,matched_events,matched_units
0,-1,chol_nb,GRAM,GRAM,MatMul,MATMUL,G = H^H @ H,16*64*64*16,35.00,CHOL_NB_GRAM,Core0_Cube|Core10_Cube|Core11_Cube|Core12_Cube|Core13_Cube|Core14_Cube|Core15_Cube|Core16_Cube|Core17_Cube|Core18_Cube|Core19_Cube|Core1_Cube|Core20_Cube|Core21_Cube|Core22_Cube|Core23_Cube|Core2_Cube|Core3_Cube|Core4_Cube|Core5_Cube|Core6_Cube|Core7_Cube|Core8_Cube|Core9_Cube
1,-1,chol_nb,REG,REG,Add,VECTOR_ADD,A = G + RegI,16*16,1.00,CHOL_NB_REG,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
2,0,chol_nb,POTRF_DIAG_0,POTRF_DIAG_SQRT_0,Sqrt,SCALAR_SQRT,L_diag_0 = sqrt(A_diag_0),1*1,4.00,CHOL_NB_POTRF_DIAG_SQRT_0,Core0_Scalar|Core10_Scalar|Core11_Scalar|Core12_Scalar|Core13_Scalar|Core14_Scalar|Core15_Scalar|Core16_Scalar|Core17_Scalar|Core18_Scalar|Core19_Scalar|Core1_Scalar|Core20_Scalar|Core21_Scalar|Core22_Scalar|Core23_Scalar|Core2_Scalar|Core3_Scalar|Core4_Scalar|Core5_Scalar|Core6_Scalar|Core7_Scalar|Core8_Scalar|Core9_Scalar
3,0,chol_nb,TRSM_DIAG_0,TRSM_DIAG_INV_0,Div,SCALAR_DIV,"invL_{0} = 1/L_{0,0}",1,4.00,CHOL_NB_TRSM_DIAG_INV_0,Core0_Scalar|Core10_Scalar|Core11_Scalar|Core12_Scalar|Core13_Scalar|Core14_Scalar|Core15_Scalar|Core16_Scalar|Core17_Scalar|Core18_Scalar|Core19_Scalar|Core1_Scalar|Core20_Scalar|Core21_Scalar|Core22_Scalar|Core23_Scalar|Core2_Scalar|Core3_Scalar|Core4_Scalar|Core5_Scalar|Core6_Scalar|Core7_Scalar|Core8_Scalar|Core9_Scalar
4,1,chol_nb,POTRF_DIAG_1,POTRF_DIAG_SQRT_1,Sqrt,SCALAR_SQRT,L_diag_1 = sqrt(A_diag_1),1*1,4.00,CHOL_NB_POTRF_DIAG_SQRT_1,Core0_Scalar|Core10_Scalar|Core11_Scalar|Core12_Scalar|Core13_Scalar|Core14_Scalar|Core15_Scalar|Core16_Scalar|Core17_Scalar|Core18_Scalar|Core19_Scalar|Core1_Scalar|Core20_Scalar|Core21_Scalar|Core22_Scalar|Core23_Scalar|Core2_Scalar|Core3_Scalar|Core4_Scalar|Core5_Scalar|Core6_Scalar|Core7_Scalar|Core8_Scalar|Core9_Scalar
5,1,chol_nb,POTRF_DIAG_A_1_1,POTRF_DIAG_UPD_1_0,SubMul,VECTOR_MAC,"A_{1,1} = A_{1,1} - L_{1,0}^2",1,1.00,CHOL_NB_POTRF_DIAG_UPD_1_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
6,1,chol_nb,RK_UPDATE_A_1_10,RK_UPDATE_1_10_0,SubMul,VECTOR_MAC,"A_{1,10} = A_{1,10} - L_{1,0}L_{10,0}",1,1.00,CHOL_NB_RK_UPDATE_1_10_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
7,1,chol_nb,RK_UPDATE_A_1_11,RK_UPDATE_1_11_0,SubMul,VECTOR_MAC,"A_{1,11} = A_{1,11} - L_{1,0}L_{11,0}",1,1.00,CHOL_NB_RK_UPDATE_1_11_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
8,1,chol_nb,RK_UPDATE_A_1_12,RK_UPDATE_1_12_0,SubMul,VECTOR_MAC,"A_{1,12} = A_{1,12} - L_{1,0}L_{12,0}",1,1.00,CHOL_NB_RK_UPDATE_1_12_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
9,1,chol_nb,RK_UPDATE_A_1_13,RK_UPDATE_1_13_0,SubMul,VECTOR_MAC,"A_{1,13} = A_{1,13} - L_{1,0}L_{13,0}",1,1.00,CHOL_NB_RK_UPDATE_1_13_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
10,1,chol_nb,RK_UPDATE_A_1_14,RK_UPDATE_1_14_0,SubMul,VECTOR_MAC,"A_{1,14} = A_{1,14} - L_{1,0}L_{14,0}",1,1.00,CHOL_NB_RK_UPDATE_1_14_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
11,1,chol_nb,RK_UPDATE_A_1_15,RK_UPDATE_1_15_0,SubMul,VECTOR_MAC,"A_{1,15} = A_{1,15} - L_{1,0}L_{15,0}",1,1.00,CHOL_NB_RK_UPDATE_1_15_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
12,1,chol_nb,RK_UPDATE_A_1_1,RK_UPDATE_1_1_0,SubMul,VECTOR_MAC,"A_{1,1} = A_{1,1} - L_{1,0}L_{1,0}",1,1.00,CHOL_NB_RK_UPDATE_1_1_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
13,1,chol_nb,RK_UPDATE_A_1_2,RK_UPDATE_1_2_0,SubMul,VECTOR_MAC,"A_{1,2} = A_{1,2} - L_{1,0}L_{2,0}",1,1.00,CHOL_NB_RK_UPDATE_1_2_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
14,1,chol_nb,RK_UPDATE_A_1_3,RK_UPDATE_1_3_0,SubMul,VECTOR_MAC,"A_{1,3} = A_{1,3} - L_{1,0}L_{3,0}",1,1.00,CHOL_NB_RK_UPDATE_1_3_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
15,1,chol_nb,RK_UPDATE_A_1_4,RK_UPDATE_1_4_0,SubMul,VECTOR_MAC,"A_{1,4} = A_{1,4} - L_{1,0}L_{4,0}",1,1.00,CHOL_NB_RK_UPDATE_1_4_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
16,1,chol_nb,RK_UPDATE_A_1_5,RK_UPDATE_1_5_0,SubMul,VECTOR_MAC,"A_{1,5} = A_{1,5} - L_{1,0}L_{5,0}",1,1.00,CHOL_NB_RK_UPDATE_1_5_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
17,1,chol_nb,RK_UPDATE_A_1_6,RK_UPDATE_1_6_0,SubMul,VECTOR_MAC,"A_{1,6} = A_{1,6} - L_{1,0}L_{6,0}",1,1.00,CHOL_NB_RK_UPDATE_1_6_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
