major_idx,layer_idx,operator_mode,major_step,compute_ops,substep_count,major_cycle_sum,major_cycle_mean,major_cycle_max,major_cycle_min,substeps
0,-1,chol_nb,GRAM,MATMUL,1,35.00,35.00,35.00,35.00,GRAM
1,-1,chol_nb,REG,VECTOR_ADD,1,1.00,1.00,1.00,1.00,REG
2,0,chol_nb,POTRF_DIAG_0,SCALAR_SQRT,1,4.00,4.00,4.00,4.00,POTRF_DIAG_SQRT_0
3,0,chol_nb,TRSM_DIAG_0,SCALAR_DIV,1,4.00,4.00,4.00,4.00,TRSM_DIAG_INV_0
4,1,chol_nb,POTRF_DIAG_1,SCALAR_SQRT,1,4.00,4.00,4.00,4.00,POTRF_DIAG_SQRT_1
5,1,chol_nb,POTRF_DIAG_A_1_1,VECTOR_MAC,1,1.00,1.00,1.00,1.00,POTRF_DIAG_UPD_1_0
6,1,chol_nb,RK_UPDATE_A_1_1,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_1_0
7,1,chol_nb,RK_UPDATE_A_1_10,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_10_0
8,1,chol_nb,RK_UPDATE_A_1_11,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_11_0
9,1,chol_nb,RK_UPDATE_A_1_12,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_12_0
10,1,chol_nb,RK_UPDATE_A_1_13,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_13_0
11,1,chol_nb,RK_UPDATE_A_1_14,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_14_0
12,1,chol_nb,RK_UPDATE_A_1_15,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_15_0
13,1,chol_nb,RK_UPDATE_A_1_2,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_2_0
14,1,chol_nb,RK_UPDATE_A_1_3,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_3_0
15,1,chol_nb,RK_UPDATE_A_1_4,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_4_0
16,1,chol_nb,RK_UPDATE_A_1_5,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_5_0
17,1,chol_nb,RK_UPDATE_A_1_6,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_6_0
18,1,chol_nb,RK_UPDATE_A_1_7,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_7_0
19,1,chol_nb,RK_UPDATE_A_1_8,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_8_0
20,1,chol_nb,RK_UPDATE_A_1_9,VECTOR_MAC,1,1.00,1.00,1.00,1.00,RK_UPDATE_1_9_0
21,1,chol_nb,TRSM_1_0,VECTOR_MUL,1,1.00,1.00,1.00,1.00,TRSM_MUL_1_0
22,1,chol_nb,TRSM_DIAG_1,SCALAR_DIV,1,4.00,4.00,4.00,4.00,TRSM_DIAG_INV_1
23,2,chol_nb,POTRF_DIAG_2,SCALAR_SQRT,1,4.00,4.00,4.00,4.00,POTRF_DIAG_SQRT_2
24,2,chol_nb,POTRF_DIAG_A_2_2,VECTOR_MAC,2,2.00,1.00,1.00,1.00,POTRF_DIAG_UPD_2_0|POTRF_DIAG_UPD_2_1
25,2,chol_nb,RK_UPDATE_A_2_10,VECTOR_MAC,2,2.00,1.00,1.00,1.00,RK_UPDATE_2_10_0|RK_UPDATE_2_10_1
26,2,chol_nb,RK_UPDATE_A_2_11,VECTOR_MAC,2,2.00,1.00,1.00,1.00,RK_UPDATE_2_11_0|RK_UPDATE_2_11_1
27,2,chol_nb,RK_UPDATE_A_2_12,VECTOR_MAC,2,2.00,1.00,1.00,1.00,RK_UPDATE_2_12_0|RK_UPDATE_2_12_1
28,2,chol_nb,RK_UPDATE_A_2_13,VECTOR_MAC,2,2.00,1.00,1.00,1.00,RK_UPDATE_2_13_0|RK_UPDATE_2_13_1
29,2,chol_nb,RK_UPDATE_A_2_14,VECTOR_MAC,2,2.00,1.00,1.00,1.00,RK_UPDATE_2_14_0|RK_UPDATE_2_14_1
30,2,chol_nb,RK_UPDATE_A_2_15,VECTOR_MAC,2,2.00,1.00,1.00,1.00,RK_UPDATE_2_15_0|RK_UPDATE_2_15_1
31,2,chol_nb,RK_UPDATE_A_2_2,VECTOR_MAC,2,2.00,1.00,1.00,1.00,RK_UPDATE_2_2_0|RK_UPDATE_2_2_1
32,2,chol_nb,RK_UPDATE_A_2_3,VECTOR_MAC,2,2.00,1.00,1.00,1.00,RK_UPDATE_2_3_0|RK_UPDATE_2_3_1
33,2,chol_nb,RK_UPDATE_A_2_4,VECTOR_MAC,2,2.00,1.00,1.00,1.00,RK_UPDATE_2_4_0|RK_UPDATE_2_4_1
34,2,chol_nb,RK_UPDATE_A_2_5,VECTOR_MAC,2,2.00,1.00,1.00,1.00,RK_UPDATE_2_5_0|RK_UPDATE_2_5_1
35,2,chol_nb,RK_UPDATE_A_2_6,VECTOR_MAC,2,2.00,1.00,1.00,1.00,RK_UPDATE_2_6_0|RK_UPDATE_2_6_1
36,2,chol_nb,RK_UPDATE_A_2_7,VECTOR_MAC,2,2.00,1.00,1.00,1.00,RK_UPDATE_2_7_0|RK_UPDATE_2_7_1
37,2,chol_nb,RK_UPDATE_A_2_8,VECTOR_MAC,2,2.00,1.00,1.00,1.00,RK_UPDATE_2_8_0|RK_UPDATE_2_8_1
