step_idx,event_name,unit_types,count,cycle_median,cycle_mean,cycle_max,cycle_min,cycle_sum,start_min,end_max
0,CHOL_NB_BARRIER_FACTOR_STEP_0,Vector,96,1.00,1.00,1,1,96,400,8025
1,CHOL_NB_BARRIER_FACTOR_STEP_1,Vector,96,1.00,1.00,1,1,96,962,11026
2,CHOL_NB_BARRIER_FACTOR_STEP_10,Vector,96,1.00,1.00,1,1,96,3035,13099
3,CHOL_NB_BARRIER_FACTOR_STEP_11,Vector,96,1.00,1.00,1,1,96,3182,13246
4,CHOL_NB_BARRIER_FACTOR_STEP_12,Vector,96,1.00,1.00,1,1,96,3305,13374
5,CHOL_NB_BARRIER_FACTOR_STEP_13,Vector,96,1.00,1.00,1,1,96,3402,13471
6,CHOL_NB_BARRIER_FACTOR_STEP_14,Vector,96,1.00,1.00,1,1,96,3471,13540
7,CHOL_NB_BARRIER_FACTOR_STEP_15,Vector,96,1.00,1.00,1,1,96,3510,13579
8,CHOL_NB_BARRIER_FACTOR_STEP_2,Vector,96,1.00,1.00,1,1,96,1235,11299
9,CHOL_NB_BARRIER_FACTOR_STEP_3,Vector,96,1.00,1.00,1,1,96,1502,11566
10,CHOL_NB_BARRIER_FACTOR_STEP_4,Vector,96,1.00,1.00,1,1,96,1761,11825
11,CHOL_NB_BARRIER_FACTOR_STEP_5,Vector,96,1.00,1.00,1,1,96,2010,12074
12,CHOL_NB_BARRIER_FACTOR_STEP_6,Vector,96,1.00,1.00,1,1,96,2247,12311
13,CHOL_NB_BARRIER_FACTOR_STEP_7,Vector,96,1.00,1.00,1,1,96,2470,12534
14,CHOL_NB_BARRIER_FACTOR_STEP_8,Vector,96,1.00,1.00,1,1,96,2677,12741
15,CHOL_NB_BARRIER_FACTOR_STEP_9,Vector,96,1.00,1.00,1,1,96,2866,12930
16,CHOL_NB_BARRIER_FWD_COL_0,Vector,96,1.00,1.00,1,1,96,5939,13679
17,CHOL_NB_BARRIER_FWD_COL_1,Vector,96,1.00,1.00,1,1,96,6283,13791
18,CHOL_NB_BARRIER_FWD_COL_10,Vector,96,1.00,1.00,1,1,96,7039,14439
19,CHOL_NB_BARRIER_FWD_COL_11,Vector,96,1.00,1.00,1,1,96,7083,14471
20,CHOL_NB_BARRIER_FWD_COL_12,Vector,96,1.00,1.00,1,1,96,7119,14495
21,CHOL_NB_BARRIER_FWD_COL_13,Vector,96,1.00,1.00,1,1,96,7147,14515
22,CHOL_NB_BARRIER_FWD_COL_14,Vector,96,1.00,1.00,1,1,96,7167,14525
23,CHOL_NB_BARRIER_FWD_COL_15,Vector,96,1.00,1.00,1,1,96,7169,14527
24,CHOL_NB_BARRIER_FWD_COL_2,Vector,96,1.00,1.00,1,1,96,6399,13895
25,CHOL_NB_BARRIER_FWD_COL_3,Vector,96,1.00,1.00,1,1,96,6507,13991
26,CHOL_NB_BARRIER_FWD_COL_4,Vector,96,1.00,1.00,1,1,96,6607,14079
27,CHOL_NB_BARRIER_FWD_COL_5,Vector,96,1.00,1.00,1,1,96,6699,14159
28,CHOL_NB_BARRIER_FWD_COL_6,Vector,96,1.00,1.00,1,1,96,6783,14231
29,CHOL_NB_BARRIER_FWD_COL_7,Vector,96,1.00,1.00,1,1,96,6859,14295
30,CHOL_NB_BARRIER_FWD_COL_8,Vector,96,1.00,1.00,1,1,96,6927,14351
31,CHOL_NB_BARRIER_FWD_COL_9,Vector,96,1.00,1.00,1,1,96,6987,14399
32,CHOL_NB_BARRIER_LOAD2GRAM,Vector,96,1.00,1.00,1,1,96,3,7309
33,CHOL_NB_BARRIER_REG2FACTOR,Vector,96,1.00,1.00,1,1,96,119,7741
34,CHOL_NB_BARRIER_SOLVE2STORE,Vector,96,1.00,1.00,1,1,96,7175,14532
35,CHOL_NB_BWD_MAC_FULL,Cube,96,32.00,32.00,32,32,3072,7205,14586
36,CHOL_NB_FWD_DIAG_INV_0,Scalar,96,4.00,4.00,4,4,384,3515,13587
37,CHOL_NB_FWD_DIAG_INV_1,Scalar,96,4.00,4.00,4,4,384,5943,13683
38,CHOL_NB_FWD_DIAG_INV_10,Scalar,96,4.00,4.00,4,4,384,6988,14403
39,CHOL_NB_FWD_DIAG_INV_11,Scalar,96,4.00,4.00,4,4,384,7040,14443
40,CHOL_NB_FWD_DIAG_INV_12,Scalar,96,4.00,4.00,4,4,384,7084,14475
