step_idx,layer_idx,operator_mode,event_key,onnx_op,compute_op,formula,formula_dims,compute_cycles,sample_count,reducer,matched_events
0,-1,ldl_block,GRAM,MatMul,MATMUL,G = H^H @ H,16*64*64*16,35.00,96,median,LDL_GRAM
1,-1,ldl_block,REG,Add,VECTOR_ADD,A = G + RegI,16*16,1.00,96,median,LDL_REG
2,0,ldl_block,BWD_DIAG_ACC_0_0,Add,VECTOR_ADD,"X_{0,0}^0 = Dinv + T_{0,0}^0",2*2,1.00,96,median,LDL_BWD_DIAG_ACC_0_0
3,0,ldl_block,BWD_DIAG_MUL_0_0,MatMul,MATMUL,"T_{0,0}^0 = L @ X",2*(U-1*2)*2,1.00,96,median,LDL_BWD_DIAG_MUL_0_0
4,0,ldl_block,BWD_OFF_ACC_0_1_0,Add,VECTOR_ADD,"X_{0,1}^0 = X_{0,1} + T_{0,1}^0",2*2,1.00,96,median,LDL_BWD_OFF_ACC_0_1_0
5,0,ldl_block,BWD_OFF_ACC_0_2_0,Add,VECTOR_ADD,"X_{0,2}^0 = X_{0,2} + T_{0,2}^0",2*2,1.00,96,median,LDL_BWD_OFF_ACC_0_2_0
6,0,ldl_block,BWD_OFF_ACC_0_3_0,Add,VECTOR_ADD,"X_{0,3}^0 = X_{0,3} + T_{0,3}^0",2*2,1.00,96,median,LDL_BWD_OFF_ACC_0_3_0
7,0,ldl_block,BWD_OFF_ACC_0_4_0,Add,VECTOR_ADD,"X_{0,4}^0 = X_{0,4} + T_{0,4}^0",2*2,1.00,96,median,LDL_BWD_OFF_ACC_0_4_0
8,0,ldl_block,BWD_OFF_ACC_0_5_0,Add,VECTOR_ADD,"X_{0,5}^0 = X_{0,5} + T_{0,5}^0",2*2,1.00,96,median,LDL_BWD_OFF_ACC_0_5_0
9,0,ldl_block,BWD_OFF_ACC_0_6_0,Add,VECTOR_ADD,"X_{0,6}^0 = X_{0,6} + T_{0,6}^0",2*2,1.00,96,median,LDL_BWD_OFF_ACC_0_6_0
10,0,ldl_block,BWD_OFF_ACC_0_7_0,Add,VECTOR_ADD,"X_{0,7}^0 = X_{0,7} + T_{0,7}^0",2*2,1.00,96,median,LDL_BWD_OFF_ACC_0_7_0
11,0,ldl_block,BWD_OFF_MUL_0_1_0,MatMul,MATMUL,"T_{0,1}^0 = L @ X",2*(U-1*2)*2,1.00,96,median,LDL_BWD_OFF_MUL_0_1_0
12,0,ldl_block,BWD_OFF_MUL_0_2_0,MatMul,MATMUL,"T_{0,2}^0 = L @ X",2*(U-1*2)*2,1.00,96,median,LDL_BWD_OFF_MUL_0_2_0
13,0,ldl_block,BWD_OFF_MUL_0_3_0,MatMul,MATMUL,"T_{0,3}^0 = L @ X",2*(U-1*2)*2,1.00,96,median,LDL_BWD_OFF_MUL_0_3_0
14,0,ldl_block,BWD_OFF_MUL_0_4_0,MatMul,MATMUL,"T_{0,4}^0 = L @ X",2*(U-1*2)*2,1.00,96,median,LDL_BWD_OFF_MUL_0_4_0
15,0,ldl_block,BWD_OFF_MUL_0_5_0,MatMul,MATMUL,"T_{0,5}^0 = L @ X",2*(U-1*2)*2,1.00,96,median,LDL_BWD_OFF_MUL_0_5_0
16,0,ldl_block,BWD_OFF_MUL_0_6_0,MatMul,MATMUL,"T_{0,6}^0 = L @ X",2*(U-1*2)*2,1.00,96,median,LDL_BWD_OFF_MUL_0_6_0
17,0,ldl_block,BWD_OFF_MUL_0_7_0,MatMul,MATMUL,"T_{0,7}^0 = L @ X",2*(U-1*2)*2,1.00,96,median,LDL_BWD_OFF_MUL_0_7_0
18,0,ldl_block,D_DIAG_INV_0,Div,SCALAR_DIV,Dinv_{0} = 1 / D_{0},2*2,4.00,96,median,LDL_D_DIAG_INV_0
