major_idx,layer_idx,operator_mode,major_step,compute_ops,substep_count,major_cycle_sum,major_cycle_mean,major_cycle_max,major_cycle_min,substeps
0,-1,ldl_block,GRAM,MATMUL,1,35.00,35.00,35.00,35.00,GRAM
1,-1,ldl_block,REG,VECTOR_ADD,1,1.00,1.00,1.00,1.00,REG
2,0,ldl_block,BWD_DIAG_0,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_DIAG_ACC_0_0|BWD_DIAG_MUL_0_0
3,0,ldl_block,BWD_OFF_0_1,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_1_0|BWD_OFF_MUL_0_1_0
4,0,ldl_block,BWD_OFF_0_2,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_2_0|BWD_OFF_MUL_0_2_0
5,0,ldl_block,BWD_OFF_0_3,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_3_0|BWD_OFF_MUL_0_3_0
6,0,ldl_block,BWD_OFF_0_4,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_4_0|BWD_OFF_MUL_0_4_0
7,0,ldl_block,BWD_OFF_0_5,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_5_0|BWD_OFF_MUL_0_5_0
8,0,ldl_block,BWD_OFF_0_6,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_6_0|BWD_OFF_MUL_0_6_0
9,0,ldl_block,BWD_OFF_0_7,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_7_0|BWD_OFF_MUL_0_7_0
10,0,ldl_block,D_BLOCK_0,SCALAR_DIV|VECTOR_MAC|VECTOR_MUL,3,6.00,2.00,4.00,1.00,D_DIAG_INV_0|D_INV_MUL_0|D_UPDATE_0
11,1,ldl_block,BWD_DIAG_1,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_DIAG_ACC_1_0|BWD_DIAG_MUL_1_0
12,1,ldl_block,BWD_OFF_1_2,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_1_2_0|BWD_OFF_MUL_1_2_0
13,1,ldl_block,BWD_OFF_1_3,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_1_3_0|BWD_OFF_MUL_1_3_0
