step_idx,event_name,unit_types,count,cycle_median,cycle_mean,cycle_max,cycle_min,cycle_sum,start_min,end_max
0,LDL_BARRIER_BLDL_STEP_0,Vector,96,1.00,1.00,1,1,96,135,1171
1,LDL_BARRIER_BLDL_STEP_1,Vector,96,1.00,1.00,1,1,96,200,1254
2,LDL_BARRIER_BLDL_STEP_2,Vector,96,1.00,1.00,1,1,96,297,1335
3,LDL_BARRIER_BLDL_STEP_3,Vector,96,1.00,1.00,1,1,96,375,1397
4,LDL_BARRIER_BLDL_STEP_4,Vector,96,1.00,1.00,1,1,96,440,1449
5,LDL_BARRIER_BLDL_STEP_5,Vector,96,1.00,1.00,1,1,96,486,1654
6,LDL_BARRIER_BLDL_STEP_6,Vector,96,1.00,1.00,1,1,96,522,1721
7,LDL_BARRIER_BLDL_STEP_7,Vector,96,1.00,1.00,1,1,96,533,1732
8,LDL_BARRIER_BWD2STORE,Vector,96,1.00,1.00,1,1,96,707,1906
9,LDL_BARRIER_BWD_COL_0,Vector,96,1.00,1.00,1,1,96,705,1904
10,LDL_BARRIER_BWD_COL_1,Vector,96,1.00,1.00,1,1,96,697,1896
11,LDL_BARRIER_BWD_COL_2,Vector,96,1.00,1.00,1,1,96,685,1884
12,LDL_BARRIER_BWD_COL_3,Vector,96,1.00,1.00,1,1,96,669,1868
13,LDL_BARRIER_BWD_COL_4,Vector,96,1.00,1.00,1,1,96,649,1848
14,LDL_BARRIER_BWD_COL_5,Vector,96,1.00,1.00,1,1,96,625,1824
15,LDL_BARRIER_BWD_COL_6,Vector,96,1.00,1.00,1,1,96,597,1796
16,LDL_BARRIER_BWD_COL_7,Vector,96,1.00,1.00,1,1,96,565,1764
17,LDL_BARRIER_BWD_DIAG2OFF_0,Vector,96,1.00,1.00,1,1,96,703,1902
18,LDL_BARRIER_BWD_DIAG2OFF_1,Vector,96,1.00,1.00,1,1,96,691,1890
19,LDL_BARRIER_BWD_DIAG2OFF_2,Vector,96,1.00,1.00,1,1,96,675,1874
20,LDL_BARRIER_BWD_DIAG2OFF_3,Vector,96,1.00,1.00,1,1,96,655,1854
21,LDL_BARRIER_BWD_DIAG2OFF_4,Vector,96,1.00,1.00,1,1,96,631,1830
22,LDL_BARRIER_BWD_DIAG2OFF_5,Vector,96,1.00,1.00,1,1,96,603,1802
23,LDL_BARRIER_BWD_DIAG2OFF_6,Vector,96,1.00,1.00,1,1,96,571,1770
24,LDL_BARRIER_BWD_DIAG2OFF_7,Vector,96,1.00,1.00,1,1,96,535,1734
25,LDL_BARRIER_GRAM2REG,Vector,96,1.00,1.00,1,1,96,47,1045
26,LDL_BARRIER_LOAD2GRAM,Vector,96,1.00,1.00,1,1,96,3,1025
27,LDL_BARRIER_REG2BLDL,Vector,96,1.00,1.00,1,1,96,119,1155
