step_idx,layer_idx,operator_mode,event_key,onnx_op,compute_op,formula,formula_dims,compute_cycles,sample_count,reducer,matched_events
0,-1,ldl_noblock,GRAM,MatMul,MATMUL,G = H^H @ H,16*64*64*16,35.00,96,median,LDL_GRAM
1,-1,ldl_noblock,REG,Add,VECTOR_ADD,A = G + RegI,16*16,1.00,96,median,LDL_REG
2,0,ldl_noblock,BWD_DIAG_ACC_0_0,Add,VECTOR_ADD,"X_{0,0}^0 = Dinv + T_{0,0}^0",1*1,1.00,96,median,LDL_BWD_DIAG_ACC_0_0
3,0,ldl_noblock,BWD_DIAG_MUL_0_0,MatMul,MATMUL,"T_{0,0}^0 = L @ X",1*(U-1*1)*1,1.00,96,median,LDL_BWD_DIAG_MUL_0_0
4,0,ldl_noblock,BWD_OFF_ACC_0_10_0,Add,VECTOR_ADD,"X_{0,10}^0 = X_{0,10} + T_{0,10}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_0_10_0
5,0,ldl_noblock,BWD_OFF_ACC_0_11_0,Add,VECTOR_ADD,"X_{0,11}^0 = X_{0,11} + T_{0,11}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_0_11_0
6,0,ldl_noblock,BWD_OFF_ACC_0_12_0,Add,VECTOR_ADD,"X_{0,12}^0 = X_{0,12} + T_{0,12}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_0_12_0
7,0,ldl_noblock,BWD_OFF_ACC_0_13_0,Add,VECTOR_ADD,"X_{0,13}^0 = X_{0,13} + T_{0,13}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_0_13_0
8,0,ldl_noblock,BWD_OFF_ACC_0_14_0,Add,VECTOR_ADD,"X_{0,14}^0 = X_{0,14} + T_{0,14}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_0_14_0
9,0,ldl_noblock,BWD_OFF_ACC_0_15_0,Add,VECTOR_ADD,"X_{0,15}^0 = X_{0,15} + T_{0,15}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_0_15_0
10,0,ldl_noblock,BWD_OFF_ACC_0_1_0,Add,VECTOR_ADD,"X_{0,1}^0 = X_{0,1} + T_{0,1}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_0_1_0
11,0,ldl_noblock,BWD_OFF_ACC_0_2_0,Add,VECTOR_ADD,"X_{0,2}^0 = X_{0,2} + T_{0,2}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_0_2_0
12,0,ldl_noblock,BWD_OFF_ACC_0_3_0,Add,VECTOR_ADD,"X_{0,3}^0 = X_{0,3} + T_{0,3}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_0_3_0
13,0,ldl_noblock,BWD_OFF_ACC_0_4_0,Add,VECTOR_ADD,"X_{0,4}^0 = X_{0,4} + T_{0,4}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_0_4_0
14,0,ldl_noblock,BWD_OFF_ACC_0_5_0,Add,VECTOR_ADD,"X_{0,5}^0 = X_{0,5} + T_{0,5}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_0_5_0
15,0,ldl_noblock,BWD_OFF_ACC_0_6_0,Add,VECTOR_ADD,"X_{0,6}^0 = X_{0,6} + T_{0,6}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_0_6_0
16,0,ldl_noblock,BWD_OFF_ACC_0_7_0,Add,VECTOR_ADD,"X_{0,7}^0 = X_{0,7} + T_{0,7}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_0_7_0
17,0,ldl_noblock,BWD_OFF_ACC_0_8_0,Add,VECTOR_ADD,"X_{0,8}^0 = X_{0,8} + T_{0,8}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_0_8_0
18,0,ldl_noblock,BWD_OFF_ACC_0_9_0,Add,VECTOR_ADD,"X_{0,9}^0 = X_{0,9} + T_{0,9}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_0_9_0
19,0,ldl_noblock,BWD_OFF_MUL_0_10_0,MatMul,MATMUL,"T_{0,10}^0 = L @ X",1*(U-1*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_0_10_0
20,0,ldl_noblock,BWD_OFF_MUL_0_11_0,MatMul,MATMUL,"T_{0,11}^0 = L @ X",1*(U-1*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_0_11_0
21,0,ldl_noblock,BWD_OFF_MUL_0_12_0,MatMul,MATMUL,"T_{0,12}^0 = L @ X",1*(U-1*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_0_12_0
22,0,ldl_noblock,BWD_OFF_MUL_0_13_0,MatMul,MATMUL,"T_{0,13}^0 = L @ X",1*(U-1*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_0_13_0
23,0,ldl_noblock,BWD_OFF_MUL_0_14_0,MatMul,MATMUL,"T_{0,14}^0 = L @ X",1*(U-1*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_0_14_0
24,0,ldl_noblock,BWD_OFF_MUL_0_15_0,MatMul,MATMUL,"T_{0,15}^0 = L @ X",1*(U-1*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_0_15_0
25,0,ldl_noblock,BWD_OFF_MUL_0_1_0,MatMul,MATMUL,"T_{0,1}^0 = L @ X",1*(U-1*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_0_1_0
26,0,ldl_noblock,BWD_OFF_MUL_0_2_0,MatMul,MATMUL,"T_{0,2}^0 = L @ X",1*(U-1*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_0_2_0
27,0,ldl_noblock,BWD_OFF_MUL_0_3_0,MatMul,MATMUL,"T_{0,3}^0 = L @ X",1*(U-1*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_0_3_0
28,0,ldl_noblock,BWD_OFF_MUL_0_4_0,MatMul,MATMUL,"T_{0,4}^0 = L @ X",1*(U-1*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_0_4_0
29,0,ldl_noblock,BWD_OFF_MUL_0_5_0,MatMul,MATMUL,"T_{0,5}^0 = L @ X",1*(U-1*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_0_5_0
30,0,ldl_noblock,BWD_OFF_MUL_0_6_0,MatMul,MATMUL,"T_{0,6}^0 = L @ X",1*(U-1*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_0_6_0
31,0,ldl_noblock,BWD_OFF_MUL_0_7_0,MatMul,MATMUL,"T_{0,7}^0 = L @ X",1*(U-1*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_0_7_0
32,0,ldl_noblock,BWD_OFF_MUL_0_8_0,MatMul,MATMUL,"T_{0,8}^0 = L @ X",1*(U-1*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_0_8_0
33,0,ldl_noblock,BWD_OFF_MUL_0_9_0,MatMul,MATMUL,"T_{0,9}^0 = L @ X",1*(U-1*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_0_9_0
34,0,ldl_noblock,D_DIAG_INV_0,Div,SCALAR_DIV,Dinv_{0} = 1 / D_{0},1*1,4.00,96,median,LDL_D_DIAG_INV_0
35,0,ldl_noblock,D_INV_MUL_0,Mul,VECTOR_MUL,DinvBlk_{0} = D_{0} * Dinv_{0},1*1,1.00,96,median,LDL_D_INV_MUL_0
36,0,ldl_noblock,D_UPDATE_0,SubMul,VECTOR_MAC,"D_{0} = A_{0,0} - L D L^T",1*16*1,1.00,96,median,LDL_D_UPDATE_0
37,1,ldl_noblock,BWD_DIAG_ACC_1_0,Add,VECTOR_ADD,"X_{1,1}^0 = Dinv + T_{1,1}^0",1*1,1.00,96,median,LDL_BWD_DIAG_ACC_1_0
38,1,ldl_noblock,BWD_DIAG_MUL_1_0,MatMul,MATMUL,"T_{1,1}^0 = L @ X",1*(U-2*1)*1,1.00,96,median,LDL_BWD_DIAG_MUL_1_0
39,1,ldl_noblock,BWD_OFF_ACC_1_10_0,Add,VECTOR_ADD,"X_{1,10}^0 = X_{1,10} + T_{1,10}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_1_10_0
40,1,ldl_noblock,BWD_OFF_ACC_1_11_0,Add,VECTOR_ADD,"X_{1,11}^0 = X_{1,11} + T_{1,11}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_1_11_0
41,1,ldl_noblock,BWD_OFF_ACC_1_12_0,Add,VECTOR_ADD,"X_{1,12}^0 = X_{1,12} + T_{1,12}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_1_12_0
42,1,ldl_noblock,BWD_OFF_ACC_1_13_0,Add,VECTOR_ADD,"X_{1,13}^0 = X_{1,13} + T_{1,13}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_1_13_0
43,1,ldl_noblock,BWD_OFF_ACC_1_14_0,Add,VECTOR_ADD,"X_{1,14}^0 = X_{1,14} + T_{1,14}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_1_14_0
44,1,ldl_noblock,BWD_OFF_ACC_1_15_0,Add,VECTOR_ADD,"X_{1,15}^0 = X_{1,15} + T_{1,15}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_1_15_0
45,1,ldl_noblock,BWD_OFF_ACC_1_2_0,Add,VECTOR_ADD,"X_{1,2}^0 = X_{1,2} + T_{1,2}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_1_2_0
46,1,ldl_noblock,BWD_OFF_ACC_1_3_0,Add,VECTOR_ADD,"X_{1,3}^0 = X_{1,3} + T_{1,3}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_1_3_0
47,1,ldl_noblock,BWD_OFF_ACC_1_4_0,Add,VECTOR_ADD,"X_{1,4}^0 = X_{1,4} + T_{1,4}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_1_4_0
48,1,ldl_noblock,BWD_OFF_ACC_1_5_0,Add,VECTOR_ADD,"X_{1,5}^0 = X_{1,5} + T_{1,5}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_1_5_0
49,1,ldl_noblock,BWD_OFF_ACC_1_6_0,Add,VECTOR_ADD,"X_{1,6}^0 = X_{1,6} + T_{1,6}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_1_6_0
50,1,ldl_noblock,BWD_OFF_ACC_1_7_0,Add,VECTOR_ADD,"X_{1,7}^0 = X_{1,7} + T_{1,7}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_1_7_0
51,1,ldl_noblock,BWD_OFF_ACC_1_8_0,Add,VECTOR_ADD,"X_{1,8}^0 = X_{1,8} + T_{1,8}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_1_8_0
52,1,ldl_noblock,BWD_OFF_ACC_1_9_0,Add,VECTOR_ADD,"X_{1,9}^0 = X_{1,9} + T_{1,9}^0",1*1,1.00,96,median,LDL_BWD_OFF_ACC_1_9_0
53,1,ldl_noblock,BWD_OFF_MUL_1_10_0,MatMul,MATMUL,"T_{1,10}^0 = L @ X",1*(U-2*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_1_10_0
54,1,ldl_noblock,BWD_OFF_MUL_1_11_0,MatMul,MATMUL,"T_{1,11}^0 = L @ X",1*(U-2*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_1_11_0
55,1,ldl_noblock,BWD_OFF_MUL_1_12_0,MatMul,MATMUL,"T_{1,12}^0 = L @ X",1*(U-2*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_1_12_0
56,1,ldl_noblock,BWD_OFF_MUL_1_13_0,MatMul,MATMUL,"T_{1,13}^0 = L @ X",1*(U-2*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_1_13_0
57,1,ldl_noblock,BWD_OFF_MUL_1_14_0,MatMul,MATMUL,"T_{1,14}^0 = L @ X",1*(U-2*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_1_14_0
58,1,ldl_noblock,BWD_OFF_MUL_1_15_0,MatMul,MATMUL,"T_{1,15}^0 = L @ X",1*(U-2*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_1_15_0
59,1,ldl_noblock,BWD_OFF_MUL_1_2_0,MatMul,MATMUL,"T_{1,2}^0 = L @ X",1*(U-2*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_1_2_0
60,1,ldl_noblock,BWD_OFF_MUL_1_3_0,MatMul,MATMUL,"T_{1,3}^0 = L @ X",1*(U-2*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_1_3_0
61,1,ldl_noblock,BWD_OFF_MUL_1_4_0,MatMul,MATMUL,"T_{1,4}^0 = L @ X",1*(U-2*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_1_4_0
62,1,ldl_noblock,BWD_OFF_MUL_1_5_0,MatMul,MATMUL,"T_{1,5}^0 = L @ X",1*(U-2*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_1_5_0
63,1,ldl_noblock,BWD_OFF_MUL_1_6_0,MatMul,MATMUL,"T_{1,6}^0 = L @ X",1*(U-2*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_1_6_0
64,1,ldl_noblock,BWD_OFF_MUL_1_7_0,MatMul,MATMUL,"T_{1,7}^0 = L @ X",1*(U-2*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_1_7_0
65,1,ldl_noblock,BWD_OFF_MUL_1_8_0,MatMul,MATMUL,"T_{1,8}^0 = L @ X",1*(U-2*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_1_8_0
66,1,ldl_noblock,BWD_OFF_MUL_1_9_0,MatMul,MATMUL,"T_{1,9}^0 = L @ X",1*(U-2*1)*1,1.00,96,median,LDL_BWD_OFF_MUL_1_9_0
67,1,ldl_noblock,D_DIAG_INV_1,Div,SCALAR_DIV,Dinv_{1} = 1 / D_{1},1*1,4.00,96,median,LDL_D_DIAG_INV_1
68,1,ldl_noblock,D_INV_MUL_1,Mul,VECTOR_MUL,DinvBlk_{1} = D_{1} * Dinv_{1},1*1,1.00,96,median,LDL_D_INV_MUL_1
69,1,ldl_noblock,D_UPDATE_1,SubMul,VECTOR_MAC,"D_{1} = A_{1,1} - L D L^T",1*16*1,1.00,96,median,LDL_D_UPDATE_1
70,1,ldl_noblock,L_UPDATE_1_0_PACK1,MatMul,MATMUL,"L_{1,0} = A_{1,0} @ Dinv_{0}",1*1*1*1,1.00,96,median,LDL_L_UPDATE_1_0_PACK1
71,2,ldl_noblock,BWD_DIAG_ACC_2_0,Add,VECTOR_ADD,"X_{2,2}^0 = Dinv + T_{2,2}^0",1*1,1.00,96,median,LDL_BWD_DIAG_ACC_2_0
