major_idx,layer_idx,operator_mode,major_step,compute_ops,substep_count,major_cycle_sum,major_cycle_mean,major_cycle_max,major_cycle_min,substeps
0,-1,ldl_noblock,GRAM,MATMUL,1,35.00,35.00,35.00,35.00,GRAM
1,-1,ldl_noblock,REG,VECTOR_ADD,1,1.00,1.00,1.00,1.00,REG
2,0,ldl_noblock,BWD_DIAG_0,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_DIAG_ACC_0_0|BWD_DIAG_MUL_0_0
3,0,ldl_noblock,BWD_OFF_0_1,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_1_0|BWD_OFF_MUL_0_1_0
4,0,ldl_noblock,BWD_OFF_0_10,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_10_0|BWD_OFF_MUL_0_10_0
5,0,ldl_noblock,BWD_OFF_0_11,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_11_0|BWD_OFF_MUL_0_11_0
6,0,ldl_noblock,BWD_OFF_0_12,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_12_0|BWD_OFF_MUL_0_12_0
7,0,ldl_noblock,BWD_OFF_0_13,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_13_0|BWD_OFF_MUL_0_13_0
8,0,ldl_noblock,BWD_OFF_0_14,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_14_0|BWD_OFF_MUL_0_14_0
9,0,ldl_noblock,BWD_OFF_0_15,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_15_0|BWD_OFF_MUL_0_15_0
10,0,ldl_noblock,BWD_OFF_0_2,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_2_0|BWD_OFF_MUL_0_2_0
11,0,ldl_noblock,BWD_OFF_0_3,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_3_0|BWD_OFF_MUL_0_3_0
12,0,ldl_noblock,BWD_OFF_0_4,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_4_0|BWD_OFF_MUL_0_4_0
13,0,ldl_noblock,BWD_OFF_0_5,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_5_0|BWD_OFF_MUL_0_5_0
14,0,ldl_noblock,BWD_OFF_0_6,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_6_0|BWD_OFF_MUL_0_6_0
15,0,ldl_noblock,BWD_OFF_0_7,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_7_0|BWD_OFF_MUL_0_7_0
16,0,ldl_noblock,BWD_OFF_0_8,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_8_0|BWD_OFF_MUL_0_8_0
17,0,ldl_noblock,BWD_OFF_0_9,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_0_9_0|BWD_OFF_MUL_0_9_0
18,0,ldl_noblock,D_BLOCK_0,SCALAR_DIV|VECTOR_MAC|VECTOR_MUL,3,6.00,2.00,4.00,1.00,D_DIAG_INV_0|D_INV_MUL_0|D_UPDATE_0
19,1,ldl_noblock,BWD_DIAG_1,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_DIAG_ACC_1_0|BWD_DIAG_MUL_1_0
20,1,ldl_noblock,BWD_OFF_1_10,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_1_10_0|BWD_OFF_MUL_1_10_0
21,1,ldl_noblock,BWD_OFF_1_11,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_1_11_0|BWD_OFF_MUL_1_11_0
22,1,ldl_noblock,BWD_OFF_1_12,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_1_12_0|BWD_OFF_MUL_1_12_0
23,1,ldl_noblock,BWD_OFF_1_13,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_1_13_0|BWD_OFF_MUL_1_13_0
24,1,ldl_noblock,BWD_OFF_1_14,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_1_14_0|BWD_OFF_MUL_1_14_0
25,1,ldl_noblock,BWD_OFF_1_15,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_1_15_0|BWD_OFF_MUL_1_15_0
26,1,ldl_noblock,BWD_OFF_1_2,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_1_2_0|BWD_OFF_MUL_1_2_0
27,1,ldl_noblock,BWD_OFF_1_3,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_1_3_0|BWD_OFF_MUL_1_3_0
28,1,ldl_noblock,BWD_OFF_1_4,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_1_4_0|BWD_OFF_MUL_1_4_0
29,1,ldl_noblock,BWD_OFF_1_5,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_1_5_0|BWD_OFF_MUL_1_5_0
30,1,ldl_noblock,BWD_OFF_1_6,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_1_6_0|BWD_OFF_MUL_1_6_0
31,1,ldl_noblock,BWD_OFF_1_7,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_1_7_0|BWD_OFF_MUL_1_7_0
32,1,ldl_noblock,BWD_OFF_1_8,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_1_8_0|BWD_OFF_MUL_1_8_0
33,1,ldl_noblock,BWD_OFF_1_9,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_1_9_0|BWD_OFF_MUL_1_9_0
34,1,ldl_noblock,D_BLOCK_1,SCALAR_DIV|VECTOR_MAC|VECTOR_MUL,3,6.00,2.00,4.00,1.00,D_DIAG_INV_1|D_INV_MUL_1|D_UPDATE_1
35,1,ldl_noblock,L_UPDATE_1_0,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_1_0_PACK1
