step_idx,event_name,unit_types,count,cycle_median,cycle_mean,cycle_max,cycle_min,cycle_sum,start_min,end_max
0,LDL_BARRIER_BLDL_STEP_0,Vector,96,1.00,1.00,1,1,96,160,2304
1,LDL_BARRIER_BLDL_STEP_1,Vector,96,1.00,1.00,1,1,96,202,2368
2,LDL_BARRIER_BLDL_STEP_10,Vector,96,1.00,1.00,1,1,96,673,2764
3,LDL_BARRIER_BLDL_STEP_11,Vector,96,1.00,1.00,1,1,96,711,2788
4,LDL_BARRIER_BLDL_STEP_12,Vector,96,1.00,1.00,1,1,96,745,3411
5,LDL_BARRIER_BLDL_STEP_13,Vector,96,1.00,1.00,1,1,96,775,3426
6,LDL_BARRIER_BLDL_STEP_14,Vector,96,1.00,1.00,1,1,96,800,3439
7,LDL_BARRIER_BLDL_STEP_15,Vector,96,1.00,1.00,1,1,96,818,3450
8,LDL_BARRIER_BLDL_STEP_2,Vector,96,1.00,1.00,1,1,96,257,2428
9,LDL_BARRIER_BLDL_STEP_3,Vector,96,1.00,1.00,1,1,96,295,2484
10,LDL_BARRIER_BLDL_STEP_4,Vector,96,1.00,1.00,1,1,96,361,2536
11,LDL_BARRIER_BLDL_STEP_5,Vector,96,1.00,1.00,1,1,96,423,2584
12,LDL_BARRIER_BLDL_STEP_6,Vector,96,1.00,1.00,1,1,96,481,2628
13,LDL_BARRIER_BLDL_STEP_7,Vector,96,1.00,1.00,1,1,96,535,2668
14,LDL_BARRIER_BLDL_STEP_8,Vector,96,1.00,1.00,1,1,96,585,2704
15,LDL_BARRIER_BLDL_STEP_9,Vector,96,1.00,1.00,1,1,96,631,2736
16,LDL_BARRIER_BWD2STORE,Vector,96,1.00,1.00,1,1,96,1424,4056
17,LDL_BARRIER_BWD_COL_0,Vector,96,1.00,1.00,1,1,96,1422,4054
18,LDL_BARRIER_BWD_COL_1,Vector,96,1.00,1.00,1,1,96,1414,4046
19,LDL_BARRIER_BWD_COL_10,Vector,96,1.00,1.00,1,1,96,1162,3794
20,LDL_BARRIER_BWD_COL_11,Vector,96,1.00,1.00,1,1,96,1114,3746
21,LDL_BARRIER_BWD_COL_12,Vector,96,1.00,1.00,1,1,96,1062,3694
22,LDL_BARRIER_BWD_COL_13,Vector,96,1.00,1.00,1,1,96,1006,3638
23,LDL_BARRIER_BWD_COL_14,Vector,96,1.00,1.00,1,1,96,946,3578
24,LDL_BARRIER_BWD_COL_15,Vector,96,1.00,1.00,1,1,96,882,3514
25,LDL_BARRIER_BWD_COL_2,Vector,96,1.00,1.00,1,1,96,1402,4034
26,LDL_BARRIER_BWD_COL_3,Vector,96,1.00,1.00,1,1,96,1386,4018
27,LDL_BARRIER_BWD_COL_4,Vector,96,1.00,1.00,1,1,96,1366,3998
